date	close
1-12-5-30	35
1-12-6-30	35
1-12-7-30	37
1-12-8-30	45
1-12-9-30	43
1-12-10-30	41
1-12-11-30	43
1-12-12-30	40
1-12-13-30	37
1-12-14-30	39
1-12-15-30	40
1-12-16-30	40
1-12-17-30	40
1-12-18-30	39
1-12-19-30	38
1-13-5-30	37
1-13-6-30	38
1-13-7-30	36
1-13-8-30	37
1-13-9-30	37
1-13-10-30	40
1-13-11-30	40
1-13-12-30	39
1-13-13-30	41
1-13-15-30	34
1-13-16-30	40
1-13-17-30	36
